Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price
Академический,ЮЗАО,Муниципальный округ,45293554,45397000,5.83,110038,18874,2467.0,22.7,55.689737699999995,37.5767712,199999.0
Алексеевский,СВАО,Муниципальный округ,45280552,45349000,5.29,80634,15242,1607.9,20.5,55.8148783,37.6506684,199474.0
Алтуфьевский,СВАО,Муниципальный округ,45280554,45350000,3.25,57697,17752,839.3,15.5,55.880255000000005,37.5816349,138021.0
Арбат,ЦАО,Муниципальный округ,45286552,45374000,2.11,36308,17207,731.0,26.0,55.74620815,37.58945652138118,438568.0
Аэропорт,САО,Муниципальный округ,45277553,45333000,4.58,79541,17367,1939.7,25.9,55.80040210000001,37.533156299999995,234544.0
Бабушкинский,СВАО,Муниципальный округ,45280556,45351000,5.07,88691,17493,1586.3,18.5,55.8659576,37.6638944,164324.0
Басманный,ЦАО,Муниципальный округ,45286555,45375000,8.37,110897,13249,1991.8,18.4,55.779396,37.6878576,302021.0
Беговой,САО,Муниципальный округ,45277556,45334000,5.56,42908,7717,791.1,18.8,55.7819165,37.56629960000001,261402.0
Бескудниковский,САО,Муниципальный округ,45277559,45335000,3.3,79732,24161,1391.7,18.4,55.8574669,37.5616979,158398.0
Бибирево,СВАО,Муниципальный округ,45280558,45352000,6.45,160447,24875,2521.8,15.8,55.883894299999994,37.6035774,140533.0
Бирюлёво Восточное,ЮАО,Муниципальный округ,45296553,45911000,14.77,155937,10557,2122.2,14.7,55.5896897,37.6569745,124645.0
Бирюлёво Западное,ЮАО,Муниципальный округ,45296555,45912000,8.51,88796,10434,1183.2,13.2,55.58798620000001,37.6363193,109421.0
Богородское,ВАО,Муниципальный округ,45263552,45301000,10.24,110137,10755,1744.1,16.9,55.815568299999995,37.7077624,178577.0
Братеево,ЮАО,Муниципальный округ,45296557,45913000,7.63,110185,14441,1585.4,15.5,55.6359246,37.761921799999996,136300.0
Бутырский,СВАО,Муниципальный округ,45280561,45353000,5.04,71798,14245,1236.2,18.3,55.81379079999999,37.5929255,182641.0
Вешняки,ВАО,Муниципальный округ,45263555,45302000,10.72,122419,11419,1976.8,16.2,55.7274735,37.8248787,147352.0
Внуково,ЗАО,Муниципальный округ,45268552,45317000,17.42,25783,1480,416.6,17.8,55.611696499999994,37.3002554,113399.0
Войковский,САО,Муниципальный округ,45277565,45336000,6.61,70899,10726,1531.0,23.1,55.819399,37.493849600000004,207242.0
Восточное Дегунино,САО,Муниципальный округ,45277568,45337000,3.77,99112,26289,1592.5,16.7,55.8829192,37.5577688,146300.0
Восточное Измайлово,ВАО,Муниципальный округ,45263558,45303000,3.85,78206,20313,706.6,9.5,55.7965807,37.8218434,168323.0
Восточный,ВАО,Муниципальный округ,45263561,45304000,3.14,13752,4379,227.5,18.4,55.81889029999999,37.8675117,118030.0
Выхино-Жулебино,ЮВАО,Муниципальный округ,45290554,45385000,14.97,225493,15062,3704.7,17.1,55.7156444,37.8179229,140357.0
Гагаринский,ЮЗАО,Муниципальный округ,45293558,45398000,5.5,81967,14903,2095.3,26.7,55.703458999999995,37.569940700000004,274448.0
Головинский,САО,Муниципальный округ,45277571,45338000,8.93,103573,11598,1806.4,17.6,55.847533299999995,37.5067991,186978.0
Гольяново,ВАО,Муниципальный округ,45263564,45305000,14.99,163197,10887,3024.1,19.1,55.81845010000001,37.8072685,144398.0
Даниловский,ЮАО,Муниципальный округ,45296559,45914000,12.6,95013,7540,2847.4,31.7,55.7072544,37.6435175,221845.0
Дмитровский,САО,Муниципальный округ,45277574,45339000,7.29,93545,12831,1364.5,15.5,55.8913196,37.528464899999996,147021.0
