Borough_Name,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person
Академический,5.83,110038,18874,2467.0,22.7
Алексеевский,5.29,80634,15242,1607.9,20.5
Алтуфьевский,3.25,57697,17752,839.3,15.5
Арбат,2.11,36308,17207,731.0,26.0
Аэропорт,4.58,79541,17367,1939.7,25.9
Бабушкинский,5.07,88691,17493,1586.3,18.5
Басманный,8.37,110897,13249,1991.8,18.4
Беговой,5.56,42908,7717,791.1,18.8
Бескудниковский,3.3,79732,24161,1391.7,18.4
Бибирево,6.45,160447,24875,2521.8,15.8
Бирюлёво Восточное,14.77,155937,10557,2122.2,14.7
Бирюлёво Западное,8.51,88796,10434,1183.2,13.2
Богородское,10.24,110137,10755,1744.1,16.9
Братеево,7.63,110185,14441,1585.4,15.5
Бутырский,5.04,71798,14245,1236.2,18.3
Вешняки,10.72,122419,11419,1976.8,16.2
Внуково,17.42,25783,1480,416.6,17.8
Войковский,6.61,70899,10726,1531.0,23.1
Восточное Дегунино,3.77,99112,26289,1592.5,16.7
Восточное Измайлово,3.85,78206,20313,706.6,9.5
Восточный,3.14,13752,4379,227.5,18.4
Выхино-Жулебино,14.97,225493,15062,3704.7,17.1
Гагаринский,5.5,81967,14903,2095.3,26.7
Головинский,8.93,103573,11598,1806.4,17.6
Гольяново,14.99,163197,10887,3024.1,19.1
Даниловский,12.6,95013,7540,2847.4,31.7
Дмитровский,7.29,93545,12831,1364.5,15.5
Донской,5.73,52037,9081,1094.0,23.0
Дорогомилово,7.95,76218,9587,1906.2,28.0
Замоскворечье,4.32,59305,13728,1072.3,19.2
Западное Дегунино,7.53,84381,11205,1385.1,17.5
Зюзино,5.45,127301,23357,2132.3,17.5
Зябликово,4.38,133501,30479,1879.2,14.5
Ивановское,10.19,128514,12611,2075.0,16.2
Измайлово,15.24,107883,7078,2055.9,19.7
Капотня,8.06,33714,4182,408.5,13.8
Коньково,7.18,156473,21792,3098.8,20.4
Коптево,5.38,102238,19003,2449.8,25.0
Косино-Ухтомский,15.05,82413,5475,1336.0,18.3
Котловка,3.94,65992,16749,1104.1,17.0
Красносельский,4.96,48769,9832,871.2,18.3
Крылатское,12.04,83007,6894,1850.5,22.4
Крюково,10.49,103046,9823,1799.0,21.0
Кузьминки,8.15,146208,17939,2312.7,16.1
Кунцево,16.56,152467,9206,2587.4,17.6
Куркино,7.9,34231,4333,900.0,42.2
Левобережный,8.0,54712,6839,933.0,17.7
Лефортово,9.06,95467,10537,1384.2,15.2
Лианозово,5.79,86035,14859,1563.7,18.1
Ломоносовский,3.34,88407,26469,2881.5,33.9
Лосиноостровский,5.54,83046,14990,1486.0,18.7
Люблино,17.41,172523,9909,2739.7,15.9
Марфино,2.97,35579,11979,711.1,26.2
Марьина Роща,4.68,67538,14431,1118.9,16.9
Марьино,11.91,254142,21338,4523.0,18.6
Матушкино,4.38,40913,9340,781.0,20.3
Метрогородок,27.57,39121,1418,575.7,15.9
Мещанский,4.6,61452,13359,1417.4,24.4
Митино,12.67,195476,15428,3658.1,21.0
Можайский,10.73,139081,12961,2655.9,20.0
Молжаниновский,21.78,12264,563,69.9,19.9
Москворечье-Сабурово,9.3,80934,8702,1314.7,17.9
Нагатино-Садовники,8.17,83607,10233,960.4,12.8
Нагатинский Затон,9.8,121143,12361,1848.8,16.2
Нагорный,5.42,81794,15091,1551.4,20.3
Некрасовка,5.58,83525,14968,385.5,20.1
Нижегородский,7.57,45738,6042,722.3,16.8
Новогиреево,4.45,98634,22164,1704.0,17.9
Новокосино,3.6,108204,30056,1682.4,16.2
Ново-Переделкино,8.48,121718,14353,1895.0,16.4
Обручевский,6.11,87458,14313,1742.0,21.7
Орехово-Борисово Северное,7.67,132307,17249,1939.6,15.1
Орехово-Борисово Южное,6.94,147835,21301,2149.7,14.8
Останкинский,12.46,63697,5112,1131.4,18.6
Отрадное,10.18,185745,18246,3191.6,17.8
Очаково-Матвеевское,17.54,130975,7467,2255.1,19.7
Перово,9.73,141269,14518,2248.0,16.5
Печатники,17.89,86706,4846,1369.3,16.5
Покровское-Стрешнево,12.9,59512,4613,1006.7,18.1
Преображенское,5.61,91574,16323,1453.2,17.7
Пресненский,11.7,128314,10967,1416.4,11.5
Проспект Вернадского,4.65,64228,13812,1831.0,29.6
Раменки,18.54,142389,7680,3511.2,27.0
Ростокино,3.54,40196,11354,732.8,19.7
Рязанский,6.49,110073,16960,2025.9,19.9
Савёлки,8.13,34726,4271,695.0,21.4
Савёловский,2.7,59586,22068,1120.0,19.2
Свиблово,4.41,62981,14281,956.1,15.9
Северное Бутово,9.13,95937,10507,1751.0,20.0
Северное Измайлово,4.2,88007,20954,1624.3,19.1
Северное Медведково,5.66,127986,22612,1764.0,14.5
Северное Тушино,9.4,166217,17682,2665.5,17.4
Северный,10.29,38633,3754,620.0,22.2
Силино,10.4,40341,3878,765.0,19.8
Сокол,3.72,60171,16175,1163.5,20.2
Соколиная Гора,7.84,92337,11777,1422.0,16.3
Сокольники,10.28,61649,5996,1247.2,21.7
Солнцево,11.29,126901,11240,2058.4,17.7
Старое Крюково,3.81,31427,8248,566.0,19.7
Строгино,16.84,161298,9578,2406.2,15.8
Таганский,8.01,123532,15422,2380.6,20.5
Тверской,7.27,77947,10721,1253.3,16.4
Текстильщики,5.92,105398,17803,1638.7,16.3
Тёплый Стан,7.5,134562,17941,2406.4,19.1
Тимирязевский,10.43,83824,8036,1836.2,22.2
Тропарёво-Никулино,11.27,124287,11028,2895.2,24.4
Филёвский Парк,9.62,94787,9853,1605.9,19.9
Фили-Давыдково,6.96,115273,16562,2388.6,21.3
Хамовники,10.08,109451,10858,2559.6,24.8
Ховрино,5.73,89094,15548,2450.2,30.2
Хорошёво-Мнёвники,17.18,174834,10176,2918.0,17.8
Хорошёвский,9.88,72732,7361,2182.0,38.2
Царицыно,8.43,129318,15340,1836.9,14.9
Черёмушки,5.52,110948,20099,1656.7,16.3
Чертаново Северное,5.4,114653,21232,1899.5,17.2
Чертаново Центральное,6.52,117308,17992,2907.0,26.0
Чертаново Южное,9.38,151899,16193,2192.8,15.4
Щукино,7.69,111673,14521,2062.0,20.1
Южное Бутово,25.54,210783,8253,4195.0,23.4
Южное Медведково,3.88,85867,22130,1355.3,16.3
Южное Тушино,7.94,109708,13817,1714.9,16.9
Южнопортовый,4.53,74841,16521,1449.0,20.6
Якиманка,4.8,27911,5814,788.7,29.8
Ярославский,7.99,98272,12299,1404.5,15.3
Ясенево,25.37,178264,7026,2969.3,16.4
Внуковское,25.6,12816,500,,
Вороновское,206.26,9634,46,,
Воскресенское,24.77,10037,405,,
Десёновское,52.96,23519,444,,
Киевский,56.5,14215,251,,
Клёновское,58.3,4238,72,,
Кокошкино,8.28,19323,2333,,
Краснопахорское,87.78,5380,61,,
Марушкинское,50.63,7694,151,,
Михайлово-Ярцевское,63.47,5768,90,,
Московский,40.6,63010,1551,,
"""Мосрентген""",6.41,20967,3270,,
Новофёдоровское,156.75,7381,47,,
Первомайское,118.94,9215,77,,
Роговское,175.95,4096,23,,
Рязановское,41.41,21683,523,,
Сосенское,67.07,33096,493,,
Троицк,16.33,61284,3752,,
Филимонковское,35.77,8017,224,,
Щаповское,86.06,9601,111,,
Щербинка,7.62,54008,7087,,
