№,Флаг,Герб,Название района[2]/поселения[3][4],Название cоответствующего внутригородского муниципального образования: муниципального округа / поселения / городского округа[5],Адми-нистра-тивныйокруг,"Пло-щадь,[6][7]км²","Насе-ление2020[8],чел.","Плот-ностьнасе-ления2020,чел. / км²","Пло-щадьжилого фонда(01.01.2010)[9],тыс. м²","Жил-площадьначело-века(01.01.2010),м²/чел."
1.0, , ,Академический , Академический , ЮЗАО ," 5,83 ", ↗110 038 ,18874.44," 2467,0 "," 22,7
"
2.0,  , ,Алексеевский , Алексеевский , СВАО ," 5,29 ", ↗80 634 ,15242.72," 1607,9 "," 20,5
"
3.0,  , ,Алтуфьевский , Алтуфьевский , СВАО ," 3,25 ", ↗57 697 ,17752.92," 839,3 "," 15,5
"
4.0,  , ,Арбат , Арбат , ЦАО ," 2,11 ", ↗36 308 ,17207.58," 731,0 "," 26,0
"
5.0,  , ,Аэропорт , Аэропорт , САО ," 4,58 ", ↗79 541 ,17367.03," 1939,7 "," 25,9
"
6.0,  , ,Бабушкинский , Бабушкинский , СВАО ," 5,07 ", ↗88 691 ,17493.29," 1586,3 "," 18,5
"
7.0,  , ,Басманный , Басманный , ЦАО ," 8,37 ", ↗110 897 ,13249.34," 1991,8 "," 18,4
"
8.0,  , ,Беговой , Беговой , САО ," 5,56 ", ↗42 908 ,7717.27," 791,1 "," 18,8
"
9.0,  , ,Бескудниковский , Бескудниковский , САО ," 3,30 ", ↗79 732 ,24161.21," 1391,7 "," 18,4
"
10.0,  , ,Бибирево , Бибирево , СВАО ," 6,45 ", ↗160 447 ,24875.5," 2521,8 "," 15,8
"
11.0,  , ,Бирюлёво Восточное , Бирюлёво Восточное , ЮАО ," 14,77 ", ↗155 937 ,10557.68," 2122,2 "," 14,7
"
12.0, , , Бирюлёво Западное , Бирюлёво Западное , ЮАО ," 8,51 ", ↗88 796 ,10434.31," 1183,2 "," 13,2
"
13.0, , , Богородское , Богородское , ВАО ," 10,24 ", ↗110 137 ,10755.57," 1744,1 "," 16,9
"
14.0, , , Братеево , Братеево , ЮАО ," 7,63 ", ↗110 185 ,14441.02," 1585,4 "," 15,5
"
15.0, , , Бутырский , Бутырский , СВАО ," 5,04 ", ↗71 798 ,14245.63," 1236,2 "," 18,3
"
16.0,  , ,Вешняки , Вешняки , ВАО ," 10,72 ", ↗122 419 ,11419.68," 1976,8 "," 16,2
"
17.0, , , Внуково , Внуково , ЗАО ," 17,42 ", ↗25 783 ,1480.08," 416,6 "," 17,8
"
18.0, , , Войковский , Войковский , САО ," 6,61 ", ↗70 899 ,10726.02," 1531,0 "," 23,1
"
19.0,  , ,Восточное Дегунино , Восточное Дегунино , САО ," 3,77 ", ↗99 112 ,26289.66," 1592,5 "," 16,7
"
20.0, , , Восточное Измайлово , Восточное Измайлово , ВАО ," 3,85 ", ↗78 206 ,20313.25," 706,6 "," 9,5
"
21.0,  , ,Восточный , Восточный , ВАО ," 3,14 ", ↗13 752 ,4379.62," 227,5 "," 18,4
"
22.0, , , Выхино-Жулебино , Выхино-Жулебино , ЮВАО ," 14,97 ", ↗225 493 ,15062.99," 3704,7 "," 17,1
"
23.0, , , Гагаринский , Гагаринский , ЮЗАО ," 5,50 ", ↗81 967 ,14903.09," 2095,3 "," 26,7
"
24.0,  , ,Головинский , Головинский , САО ," 8,93 ", ↗103 573 ,11598.32," 1806,4 "," 17,6
"
25.0,  , ,Гольяново , Гольяново , ВАО ," 14,99 ", ↗163 197 ,10887.06," 3024,1 "," 19,1
"
26.0, , , Даниловский , Даниловский , ЮАО ," 12,60 ", ↗95 013 ,7540.71," 2847,4 "," 31,7
"
27.0, , , Дмитровский , Дмитровский , САО ," 7,29 ", ↗93 545 ,12831.96," 1364,5 "," 15,5
"
28.0,  , ,Донской , Донской , ЮАО ," 5,73 ", ↗52 037 ,9081.5," 1094,0 "," 23,0
"
29.0, , , Дорогомилово , Дорогомилово , ЗАО ," 7,95 ", ↗76 218 ,9587.17," 1906,2 "," 28,0
"
30.0,  , ,Замоскворечье , Замоскворечье , ЦАО ," 4,32 ", ↗59 305 ,13728.01," 1072,3 "," 19,2
"
31.0, , , Западное Дегунино , Западное Дегунино , САО ," 7,53 ", ↗84 381 ,11205.98," 1385,1 "," 17,5
"
32.0,  , ,Зюзино , Зюзино , ЮЗАО ," 5,45 ", ↗127 301 ,23357.98," 2132,3 "," 17,5
"
33.0,  , ,Зябликово , Зябликово , ЮАО ," 4,38 ", ↗133 501 ,30479.68," 1879,2 "," 14,5
"
34.0, , , Ивановское , Ивановское , ВАО ," 10,19 ", ↗128 514 ,12611.78," 2075,0 "," 16,2
"
35.0, , , Измайлово , Измайлово , ВАО ," 15,24 ", ↗107 883 ,7078.94," 2055,9 "," 19,7
"
36.0, , , Капотня , Капотня , ЮВАО ," 8,06 ", ↗33 714 ,4182.88," 408,5 "," 13,8
"
37.0,  , ,Коньково , Коньково , ЮЗАО ," 7,18 ", ↗156 473 ,21792.9," 3098,8 "," 20,4
"
38.0, , , Коптево , Коптево , САО ," 5,38 ", ↗102 238 ,19003.35," 2449,8 "," 25,0
"
39.0, , , Косино-Ухтомский , Косино-Ухтомский , ВАО ," 15,05 ", ↗82 413 ,5475.95," 1336,0 "," 18,3
"
40.0, , , Котловка , Котловка , ЮЗАО ," 3,94 ", ↗65 992 ,16749.24," 1104,1 "," 17,0
"
41.0,  , ,Красносельский , Красносельский , ЦАО ," 4,96 ", ↗48 769 ,9832.46," 871,2 "," 18,3
"
42.0, , , Крылатское , Крылатское , ЗАО ," 12,04 ", ↗83 007 ,6894.27," 1850,5 "," 22,4
"
43.0, , , Крюково , Крюково , ЗелАО ," 10,49 ", ↗103 046 ,9823.26," 1799,0 "," 21,0
"
44.0, , , Кузьминки , Кузьминки , ЮВАО ," 8,15 ", ↗146 208 ,17939.63," 2312,7 "," 16,1
"
45.0, , , Кунцево , Кунцево , ЗАО ," 16,56 ", ↗152 467 ,9206.94," 2587,4 "," 17,6
"
46.0,  , ,Куркино , Куркино , СЗАО ," 7,90 ", ↗34 231 ,4333.04," 900,0 "," 42,2
"
47.0,  , ,Левобережный , Левобережный , САО ," 8,00 ", ↗54 712 ,6839.0," 933,0 "," 17,7
"
48.0, , , Лефортово , Лефортово , ЮВАО ," 9,06 ", ↗95 467 ,10537.2," 1384,2 "," 15,2
"
49.0,  , ,Лианозово , Лианозово , СВАО ," 5,79 ", ↗86 035 ,14859.24," 1563,7 "," 18,1
"
50.0,  , ,Ломоносовский , Ломоносовский , ЮЗАО ," 3,34 ", ↗88 407 ,26469.16," 2881,5 "," 33,9
"
51.0, , , Лосиноостровский , Лосиноостровский , СВАО ," 5,54 ", ↗83 046 ,14990.25," 1486,0 "," 18,7
"
52.0, , , Люблино , Люблино , ЮВАО ," 17,41 ", ↗172 523 ,9909.42," 2739,7 "," 15,9
"
53.0,  , ,Марфино , Марфино , СВАО ," 2,97 ", ↗35 579 ,11979.46," 711,1 "," 26,2
"
54.0, , , Марьина Роща , Марьина Роща , СВАО ," 4,68 ", ↗67 538 ,14431.2," 1118,9 "," 16,9
"
55.0,  , ,Марьино , Марьино , ЮВАО ," 11,91 ", ↗254 142 ,21338.54," 4523,0 "," 18,6							
"
56.0,  , ,Матушкино , Матушкино , ЗелАО ," 4,38 ", ↗40 913 ,9340.87," 781,0 "," 20,3
"
57.0,  , ,Метрогородок , Метрогородок , ВАО ," 27,57 ", ↗39 121 ,1418.97," 575,7 "," 15,9
"
58.0, , , Мещанский , Мещанский , ЦАО ," 4,60 ", ↗61 452 ,13359.13," 1417,4 "," 24,4
"
59.0, , , Митино , Митино , СЗАО ," 12,67 ", ↗195 476 ,15428.26," 3658,1 "," 21,0
"
60.0,  , ,Можайский , Можайский , ЗАО ," 10,73 ", ↗139 081 ,12961.88," 2655,9 "," 20,0
"
61.0, , , Молжаниновский , Молжаниновский , САО ," 21,78 ", ↗12 264 ,563.09," 69,9 "," 19,9
"
62.0, , , Москворечье-Сабурово , Москворечье-Сабурово , ЮАО ," 9,30 ", ↗80 934 ,8702.58," 1314,7 "," 17,9
"
63.0,  , ,Нагатино-Садовники , Нагатино-Садовники , ЮАО ," 8,17 ", ↗83 607 ,10233.41," 960,4 "," 12,8
"
64.0,  , ,Нагатинский Затон , Нагатинский Затон , ЮАО ," 9,80 ", ↗121 143 ,12361.53," 1848,8 "," 16,2
"
65.0,  , ,Нагорный , Нагорный , ЮАО ," 5,42 ", ↗81 794 ,15091.14," 1551,4 "," 20,3
"
66.0, , , Некрасовка , Некрасовка , ЮВАО ," 5,58 ", ↗83 525 ,14968.64," 385,5 "," 20,1
"
67.0,  , ,Нижегородский , Нижегородский , ЮВАО ," 7,57 ", ↗45 738 ,6042.01," 722,3 "," 16,8
"
68.0, , , Новогиреево , Новогиреево , ВАО ," 4,45 ", ↗98 634 ,22164.94," 1704,0 "," 17,9
"
69.0, , , Новокосино , Новокосино , ВАО ," 3,60 ", ↗108 204 ,30056.67," 1682,4 "," 16,2
"
70.0,  , ,Ново-Переделкино , Ново-Переделкино , ЗАО ," 8,48 ", ↗121 718 ,14353.54," 1895,0 "," 16,4
"
71.0,  , ,Обручевский , Обручевский , ЮЗАО ," 6,11 ", ↗87 458 ,14313.91," 1742,0 "," 21,7
"
72.0, , , Орехово-Борисово Северное , Орехово-Борисово Северное , ЮАО ," 7,67 ", ↗132 307 ,17249.93," 1939,6 "," 15,1
"
73.0,  , ,Орехово-Борисово Южное , Орехово-Борисово Южное , ЮАО ," 6,94 ", ↗147 835 ,21301.87," 2149,7 "," 14,8
"
74.0, , , Останкинский , Останкинский , СВАО ," 12,46 ", ↗63 697 ,5112.12," 1131,4 "," 18,6
"
75.0, , , Отрадное , Отрадное , СВАО ," 10,18 ", ↗185 745 ,18246.07," 3191,6 "," 17,8
"
76.0, , , Очаково-Матвеевское , Очаково-Матвеевское , ЗАО ," 17,54 ", ↗130 975 ,7467.22," 2255,1 "," 19,7
"
77.0, , , Перово , Перово , ВАО ," 9,73 ", ↗141 269 ,14518.91," 2248,0 "," 16,5
"
78.0,  , ,Печатники , Печатники , ЮВАО ," 17,89 ", ↗86 706 ,4846.62," 1369,3 "," 16,5
"
79.0, , , Покровское-Стрешнево , Покровское-Стрешнево , СЗАО ," 12,90 ", ↗59 512 ,4613.33," 1006,7 "," 18,1
"
80.0, , , Преображенское , Преображенское , ВАО ," 5,61 ", ↗91 574 ,16323.35," 1453,2 "," 17,7
"
81.0,  , ,Пресненский , Пресненский , ЦАО ," 11,70 ", ↗128 314 ,10967.01," 1416,4 "," 11,5
"
82.0, , , Проспект Вернадского , Проспект Вернадского , ЗАО ," 4,65 ", ↗64 228 ,13812.47," 1831,0 "," 29,6
"
83.0, , ,Раменки , Раменки , ЗАО ," 18,54 ", ↗142 389 ,7680.1," 3511,2 "," 27,0
"
84.0, , , Ростокино , Ростокино , СВАО ," 3,54 ", ↗40 196 ,11354.8," 732,8 "," 19,7
"
85.0, , , Рязанский , Рязанский , ЮВАО ," 6,49 ", ↗110 073 ,16960.4," 2025,9 "," 19,9
"
86.0, , , Савёлки , Савёлки , ЗелАО ," 8,13 ", ↗34 726 ,4271.34," 695,0 "," 21,4
"
87.0, , , Савёловский , Савёловский , САО ," 2,70 ", ↗59 586 ,22068.89," 1120,0 "," 19,2
"
88.0, , , Свиблово , Свиблово , СВАО ," 4,41 ", ↗62 981 ,14281.41," 956,1 "," 15,9
"
89.0, , , Северное Бутово , Северное Бутово , ЮЗАО ," 9,13 ", ↗95 937 ,10507.89," 1751,0 "," 20,0
"
90.0, , , Северное Измайлово , Северное Измайлово , ВАО ," 4,20 ", ↗88 007 ,20954.05," 1624,3 "," 19,1
"
91.0, , , Северное Медведково , Северное Медведково , СВАО ," 5,66 ", ↗127 986 ,22612.37," 1764,0 "," 14,5
"
92.0, , , Северное Тушино , Северное Тушино , СЗАО ," 9,40 ", ↗166 217 ,17682.66," 2665,5 "," 17,4
"
93.0, , , Северный , Северный , СВАО ," 10,29 ", ↗38 633 ,3754.42," 620,0 "," 22,2
"
94.0, , , Силино , Силино , ЗелАО ," 10,40 ", ↗40 341 ,3878.94, 765.0 ," 19,8
"
95.0,  , ,Сокол , Сокол , САО ," 3,72 ", ↗60 171 ,16175.0," 1163,5 "," 20,2
"
96.0, , , Соколиная Гора , Соколиная Гора , ВАО ," 7,84 ", ↗92 337 ,11777.68," 1422,0 "," 16,3
"
97.0, , , Сокольники , Сокольники , ВАО ," 10,28 ", ↗61 649 ,5996.98," 1247,2 "," 21,7
"
98.0, , , Солнцево , Солнцево , ЗАО ," 11,29 ", ↗126 901 ,11240.12," 2058,4 "," 17,7
"
99.0, , , Старое Крюково , Старое Крюково , ЗелАО ," 3,81 ", ↗31 427 ,8248.56," 566,0 "," 19,7
"
100.0,  , ,Строгино , Строгино , СЗАО ," 16,84 ", ↗161 298 ,9578.27," 2406,2 "," 15,8
"
101.0, , , Таганский , Таганский , ЦАО ," 8,01 ", ↗123 532 ,15422.22," 2380,6 "," 20,5
"
102.0,  , ,Тверской , Тверской , ЦАО ," 7,27 ", ↗77 947 ,10721.73," 1253,3 "," 16,4
"
103.0, , , Текстильщики , Текстильщики , ЮВАО ," 5,92 ", ↗105 398 ,17803.72," 1638,7 "," 16,3
"
104.0, , , Тёплый Стан , Тёплый Стан , ЮЗАО ," 7,50 ", ↗134 562 ,17941.6," 2406,4 "," 19,1
"
105.0,  , ,Тимирязевский , Тимирязевский , САО ," 10,43 ", ↗83 824 ,8036.82," 1836,2 "," 22,2
"
106.0, , , Тропарёво-Никулино , Тропарёво-Никулино , ЗАО ," 11,27 ", ↗124 287 ,11028.13," 2895,2 "," 24,4
"
107.0, , , Филёвский Парк , Филёвский Парк , ЗАО ," 9,62 ", ↗94 787 ,9853.12," 1605,9 "," 19,9
"
108.0, , , Фили-Давыдково , Фили-Давыдково , ЗАО ," 6,96 ", ↗115 273 ,16562.21," 2388,6 "," 21,3
"
109.0, , , Хамовники , Хамовники , ЦАО ," 10,08 ", ↗109 451 ,10858.23," 2559,6 "," 24,8
"
110.0, , , Ховрино , Ховрино , САО ," 5,73 ", ↗89 094 ,15548.69," 2450,2 "," 30,2
"
111.0,  , ,Хорошёво-Мнёвники , Хорошёво-Мнёвники , СЗАО ," 17,18 ", ↗174 834 ,10176.6," 2918,0 "," 17,8
"
112.0, , , Хорошёвский , Хорошёвский , САО ," 9,88 ", ↗72 732 ,7361.54," 2182,0 "," 38,2
"
113.0, , , Царицыно , Царицыно , ЮАО ," 8,43 ", ↗129 318 ,15340.21," 1836,9 "," 14,9
"
114.0, , , Черёмушки , Черёмушки , ЮЗАО ," 5,52 ", ↗110 948 ,20099.28," 1656,7 "," 16,3
"
115.0,  , ,Чертаново Северное , Чертаново Северное , ЮАО ," 5,40 ", ↗114 653 ,21232.04," 1899,5 "," 17,2
"
116.0, , , Чертаново Центральное , Чертаново Центральное , ЮАО ," 6,52 ", ↗117 308 ,17992.02," 2907,0 "," 26,0
"
117.0, , , Чертаново Южное , Чертаново Южное , ЮАО ," 9,38 ", ↗151 899 ,16193.92," 2192,8 "," 15,4
"
118.0, , , Щукино , Щукино , СЗАО ," 7,69 ", ↗111 673 ,14521.85," 2062,0 "," 20,1
"
119.0,  , ,Южное Бутово , Южное Бутово , ЮЗАО ," 25,54 ", ↗210 783 ,8253.05," 4195,0 "," 23,4
"
120.0, , , Южное Медведково , Южное Медведково , СВАО ," 3,88 ", ↗85 867 ,22130.67," 1355,3 "," 16,3
"
121.0, , , Южное Тушино , Южное Тушино , СЗАО ," 7,94 ", ↗109 708 ,13817.13," 1714,9 "," 16,9
"
122.0,  , ,Южнопортовый , Южнопортовый , ЮВАО ," 4,53 ", ↗74 841 ,16521.19," 1449,0 "," 20,6
"
123.0, , , Якиманка , Якиманка , ЦАО ," 4,80 ", ↗27 911 ,5814.79," 788,7 "," 29,8
"
124.0, , , Ярославский , Ярославский , СВАО ," 7,99 ", ↗98 272 ,12299.37," 1404,5 "," 15,3
"
125.0, , , Ясенево , Ясенево , ЮЗАО ," 25,37 ", ↗178 264 ,7026.57," 2969,3 "," 16,4
"
126.0, , ," Внуковское, поселение[Прим. 1] "," Внуковское, поселение ", НАО ," 25,60 ", ↗12 816 ,500.63, ,"
"
127.0, , ," Вороновское, поселение[Прим. 2] "," Вороновское, поселение ", ТАО ," 206,26 ", ↗9634 ,46.71, ,"
"
128.0,  , ,"Воскресенское, поселение[Прим. 3] "," Воскресенское, поселение ", НАО ," 24,77 ", ↗10 037 ,405.21, ,"
"
129.0, , ," Десёновское, поселение[Прим. 4] "," Десёновское, поселение ", НАО ," 52,96 ", ↗23 519 ,444.09, ,"
"
130.0,  , ,"Киевский, поселение[Прим. 5] "," Киевский, поселение ", ТАО ," 56,50 ", ↗14 215 ,251.59, ,"
"
