Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Северное Бутово,Ddx Fitness,Gym / Fitness Center,117216,55.56513567954536,37.55649930260756
Северное Бутово,Спорт Нация,Gym,"ТЦ «Апельсин» (Куликовская ул., 9), 117216",55.56752713903085,37.56172421945265
Северное Бутово,Фитнес Холл,Gym / Fitness Center,"Знаменские Садки ул., 7а, стр. 1",55.573599544228436,37.56905724917235
Северное Бутово,White Boys Rugby Stadium,Martial Arts Dojo,Россия,55.57444799878487,37.568515450807425
Северное Бутово,Спортивный комплекс «Синяя птица»,Gym,Старокачаловская ул.,55.57096847370742,37.58460030368013
Бирюлёво Западное,Gym,Gym,Россия,55.57386428862442,37.63358102713139
Бирюлёво Западное,"Фитнесс-клуб ""Идеал""",Gym,Булатниковская ул.,55.58133272506679,37.6485278516824
Чертаново Северное,Тренажерка (Час Спорта),Gym,Россия,55.624541159557616,37.590330793452075
Чертаново Северное,Fitness Club Plastiline,Gym / Fitness Center,"7 Континент (ул. Днепропетровская, 4А)",55.623288784668595,37.60176159932821
Обручевский,Power Style,Gym,"Ул. Островитянова, д. 6",55.64670536796047,37.50039971716881
Чертаново Северное,Спринт,Gym / Fitness Center,"Варшавское ш., 125ж, корп. 5, 117587",55.62221578977691,37.62168712379438
Чертаново Северное,Air Fitness ❤,Gym / Fitness Center,Россия,55.634262093788706,37.59011910621726
Чертаново Северное,World Class LITE,Gym / Fitness Center,"Варшавское шоссе, д.122 А, 117587",55.62933103414901,37.61633867644771
Обручевский,Спортзал,Gym,БЦ «Парк плейс»,55.65603725114225,37.498390027328455
Чертаново Северное,Nice Fitness,Gym / Fitness Center,"мкрн. Северное Чертаново, 1а, корп. 1, 111111",55.63738755219777,37.59780046037741
Чертаново Северное,"спортклуб ""Персей""",Gym / Fitness Center,"Сумской проезд, 6А (Сумской проезд), 117208",55.63589514130211,37.609412403364814
Чертаново Северное,Панджшер,Gym / Fitness Center,"Сумской пр., 8, корп. 3",55.63523878373461,37.61260505071649
Чертаново Северное,Bikram Yoga Varshavka,Yoga Studio,"Варшавское ш., 118, корп. 1 (БЦ Варшавка-SKY), 117587",55.631095010025255,37.61767032103243
Чертаново Северное,Московский центр боевых искусств,Martial Arts Dojo,"Варшавское ш., 118, корп. 1, 117587",55.63201516438407,37.61832618469792
Обручевский,World Class,Gym / Fitness Center,"Ленинский проспект, д.109, 119421",55.66372488308838,37.51106810235085
Обручевский,"Спортивный клуб ""Ермак""",Gym,"ул. Обручева, 23, к. 3 (ул. Архитектора Власова)",55.657347989337474,37.5296350944035
Чертаново Северное,Фитнес-клуб Академия Спорта,Gym / Fitness Center,"ТЦ Аэробус (Варшавское ш., 95, корп.1)",55.640340474978466,37.62152911752587
Обручевский,Wellness Park,Gym / Fitness Center,"Воронцовские пруды, 3, 117530",55.66430626849279,37.53642632432754
Обручевский,Зебра,Gym / Fitness Center,"Профсоюзная, 76",55.661551292506246,37.54324091955926
Черёмушки,Газпром ФОК,Gym,Наметкина 16,55.658879651741884,37.556657952911685
Черёмушки,Газпром - Оздоровительный Центр,Gym / Fitness Center,"Наметкина, 16",55.65814876546739,37.557063102722175
Нагорный,ДА!ФИТНЕС,Gym / Fitness Center,Артековская 5,55.649979034830466,37.61384964431701
Проспект Вернадского,Gym Fitness Studio,Gym / Fitness Center,"Лобачевского, 74",55.67545417634727,37.49136984496281
Проспект Вернадского,Gymnastika,Gym / Fitness Center,"просп. Вернадского, 53",55.673413902411525,37.501348385915186
Проспект Вернадского,Амрита,Yoga Studio,"Удальцова 5/2, 119415",55.67229650430119,37.51666556506436
Обручевский,Eastetica,Yoga Studio,"ул. Новаторов, 1",55.66851835071273,37.52534122181589
Черёмушки,World Class,Gym / Fitness Center,"улица Намёткина, д.6, стр. 1 (Профсоюзная ул.), 117420",55.66386,37.54907
Москворечье-Сабурово,Тонус Клуб,Gym / Fitness Center,"ул. Москворечье, 31",55.644995804368925,37.65888450914558
Москворечье-Сабурово,Yoga INN,Yoga Studio,"ул. Москворечье, 31",55.644935474276295,37.65913452313957
Москворечье-Сабурово,Force Factory,Gym,"ул Москворечье д14 с2, 115409",55.644346,37.663973
Москворечье-Сабурово,Фитнес-центр Зазеркалье,Gym / Fitness Center,Ул. Кантемировская д. 6 корп. 1,55.63787718147568,37.678087025308116
Москворечье-Сабурово,Миллениум,Gym / Fitness Center,"Каширское ш., 55а, 115211",55.63838686461318,37.692412370034546
Москворечье-Сабурово,Сабуровец,Gym,"Каширское шоссе, д. 57, корп 5, 115211",55.63766487869376,37.697646000765424
Проспект Вернадского,Swim & Gym,Gym / Fitness Center,"ул. Удальцова, 40, 119454",55.6835385960996,37.492860915463844
Проспект Вернадского,Москва-98 Художественная Гимнастика,Gym,Россия,55.683388149661596,37.491777599743024
Проспект Вернадского,МД-Фит,Gym / Fitness Center,"просп. Вернадского, 37, корп. 2",55.67763885606199,37.50969529151917
Проспект Вернадского,Power Plate,Gym / Fitness Center,"ул. Удальцова, 10",55.67471702980359,37.51368003197868
